dzr_sng_id,MSD_sng_id,MSD_track_id,valence,arousal,artist_name,track_name,mode,tempo,loudness,quadrant
560270,SOTFUBR12A8C13E3EC,TRAYKVH128F42AC993,0.3733252210800001,-0.923150665621,Faithless,Mass Destruction,1,88.74,-5.509,4
560274,SOULDME12AB01887C6,TRATCMK12903CABAC8,0.3733252210800001,-0.923150665621,Faithless,Salva Mea,0,128.067,-9.0,4
623060,SOAYOFO12AF72A4B88,TRALJBT128F4266FD8,0.5943590051309999,-0.130346744862,Jennifer Lopez,Play,0,104.796,-1.81,4
916339,SOOOWIC12A6701C7E5,TRBGPJP128E078ED20,1.0719011311700002,0.8468301807240001,Aerosmith,Crazy,0,232.709,-4.43,1
916480,SOJCBAM12A6701FD04,TRAGFPP128E078F34C,0.032223702483,-0.512920729879,The Cardigans,Paralyzed,1,145.27100000000004,-6.966,4
935380,SOPRMDL12A8C13CAF6,TRAXLPR128F428E466,-0.333437125453,-0.494483429397,The White Stripes,A Martyr For My Love For You,1,85.15899999999998,-8.686,3
936426,SOQSVRE12A8C13A31C,TRBBAHD128F428E0FE,-0.49716585438,-0.38616428906,Tones On Tail,Burning Skies,0,95.425,-11.705,3
937649,SOMKGQN12A8C1339D2,TRBHLDQ128F423EF10,0.08679994545849999,-0.287063798966,The White Stripes,Blue Orchid,1,152.785,-9.385,4
983464,SORRZGD12A6310DBC3,TRABCUQ128E0783E2B,0.815392789182,0.662457175897,Gwen Stefani,Harajuku Girls,1,113.995,-4.169,1
1138648,SOYSUZL12A6D4F9005,TRBCBXZ128F14628C3,0.8290368499259999,0.256836565276,Lighthouse Family,Ocean Drive,1,90.703,-8.03,1
1575425,SOXPWVH12A8C13B68E,TRBGNCL128F428F56F,-0.420369283909,-0.242287497795,Gwen Stefani,4 In The Morning,1,124.517,-6.805,3
2300402,SOBQRZJ12A6310E1F8,TRAVJHK128E078370B,0.253257486534,0.279883190879,LL Cool J,Headsprung,1,99.914,-7.553,1
2435986,SOUSWBE12A679AE573,TRAKHYP128E0792F07,-0.587216655289,-0.234824780928,Patty Griffin,Moses,1,95.738,-7.852,3
2676947,SORSXYJ12AB01882C9,TRBCKSF128F932FA70,0.815392789182,0.662457175897,Fall Out Boy,(Coffee's For Closers),1,155.03799999999995,-3.214,1
3016896,SOGBZFX12A8C13C9BA,TRAMVOM128F42ACB16,0.3733252210800001,-0.923150665621,Faithless,Take The Long Way Home,1,130.002,-7.852,4
3016899,SOLITMH12A58A78F01,TRAFSIP128F9301AE9,0.3733252210800001,-0.923150665621,Faithless,Six,0,229.808,-10.595999999999998,4
3019249,SOVDYQP12AB01824EC,TRAPMRV128F92F5F4C,0.815392789182,0.662457175897,Dixie Chicks,Hole In My Head,1,153.447,-7.279,1
3128092,SOUCKDH12A8C138FF5,TRANBUW128F933C645,0.0520075905616,-0.359660669617,Coldplay,Don't Panic,1,122.291,-8.501,4
3153497,SOLMCFH12A58A7FACE,TRBFURI128F1455498,0.0690626664915,-0.7111217100689999,KT Tunstall,Under The Weather,1,142.121,-9.911,4
3157515,SOPTYJX12A6701CDC6,TRBFLIP128E07897B4,1.11010450125,-0.31471974969,Coldplay,Things I Don't Understand,0,137.00799999999998,-6.473,4
3526076,SOFDEKM12A6701E597,TRANAHT128E07895F8,-0.3416235618990001,-0.0934721438967,KT Tunstall,Boo Hoo,1,128.205,-10.997,3
4303422,SOYDJQU12AB018BD6F,TRAMRZO12903CA82FB,-1.05657234488,0.736206377828,Richard Walters,All at sea,1,127.719,-9.627,2
4764860,SOJXPPN12A58A7E3E7,TRAQVOG128F9340E58,1.0719011311700002,0.8468301807240001,Chris Brown,I.Y.A.,1,131.953,-6.9689999999999985,1
5608931,SOVZKIS12AF72A0A93,TRAUXEU12903CD3CD7,-1.40040267563,1.5382289488299998,The New York Dolls,Vietnamese Baby,1,84.05799999999998,-5.771,2
7431911,SOJZBCP12A67ADA093,TRBDUXD128F148328A,0.3733252210800001,-0.923150665621,Fergie,Velvet,0,150.003,-6.229,4
7511324,SODXQTB12A8C13F0F7,TRANVZT128F42AE134,0.12955133578800002,0.21996196431,Dixie Chicks,Lullaby,1,109.74,-12.749,1
10969882,SOBBUGU12A8C13E95D,TRAACER128F4290F96,0.951833396621,2.423219372,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,1,166.862,-4.2639999999999985,1
11883191,SOCBUYU12A8C13D518,TRAYJHF128F4294CB8,1.54125682076,1.70416465317,K'Naan,Smile,0,163.44,-8.138,1
12191209,SOQQABM12AF729A392,TRADCHC128F42134B5,0.815392789182,0.662457175897,Blackalicious,Rock the Spot,1,100.694,-5.869,1
13143969,SOPPDZH12AF72A283A,TRBGASN128F427BF8F,1.06098588257,0.678589813819,Jennifer Lopez,I'm Glad,0,93.95,-5.229,1
13145267,SOKHNJM12AF72A0187,TRBAOTY128F9327A9C,-1.9352498567900005,-0.655809808621,Jennifer Lopez,Still,1,95.648,-5.046,3
13197331,SODCZSU12AB018306C,TRAVGZS128F9338603,1.0719011311700002,0.8468301807240001,Tammy Wynette,I Stayed Long Enough,1,111.12,-14.09,1
15175509,SOOKISK12AB0180667,TRAASUZ128F9314950,-1.4604365429,0.40249123909,Korn,Hey Daddy,1,94.057,-6.694,2
17614546,SOAJLWB12CF5828932,TRBAWKB128F931BAEE,-0.5522878597850001,-0.287063798966,Owl City,On The Wing,1,115.02,-6.445,3
17937644,SOZCURA12AF72A17B1,TRADJGI128F148B0F6,1.0719011311700002,0.8468301807240001,Jonny Lang,The One I Got,1,136.93200000000002,-6.067,1
17941596,SOTFFLU12A679AE5C4,TRBEBEZ128E0792F08,-1.09068249674,0.123166136776,Patty Griffin,Let Him Fly,1,111.829,-9.316,2
18053183,SOPFURM12A67020D2A,TRADRJK128E078F041,0.3733252210800001,-0.923150665621,The Cardigans,Iron Man,1,137.342,-10.175,4
18055539,SONRIJJ12A6701FD0A,TRBFMAS128E078F352,-1.12206383645,-0.379250301379,The Cardigans,Marvel Hill,1,105.919,-8.022,3
32611761,SOLFKYA12A8C13B082,TRASXZE128F427F156,1.54125682076,1.70416465317,Heavenly,Smile,1,69.965,-8.339,1
